Benchmark,Optimization,Avg Time (s),Std Dev (s),Speedup,P95 Time (s),P99 Time (s),Dynamic Instructions
gcd,--loops,0.002398,0.000157,0.98x,N/A,N/A,N/A
gcd,--lvn_--dce,0.002415,0.000145,0.98x,N/A,N/A,N/A
gcd,--lvn_--dce_--loops,0.002417,0.000181,0.97x,N/A,N/A,N/A
triangle,baseline,0.002367,0.001617,baseline,N/A,N/A,N/A
triangle,--lvn,0.002391,0.000196,0.99x,N/A,N/A,N/A
triangle,--dce,0.002329,0.000151,1.02x,N/A,N/A,N/A
triangle,--loops,0.002292,0.000137,1.03x,N/A,N/A,N/A
triangle,--lvn_--dce,0.002331,0.000152,1.02x,N/A,N/A,N/A
triangle,--lvn_--dce_--loops,0.002358,0.000194,1.00x,N/A,N/A,N/A
catalan,baseline,0.005227,0.000131,baseline,N/A,N/A,N/A
catalan,--lvn,0.005180,0.000131,1.01x,N/A,N/A,N/A
catalan,--dce,0.005128,0.000117,1.02x,N/A,N/A,N/A
catalan,--loops,0.005171,0.000128,1.01x,N/A,N/A,N/A
catalan,--lvn_--dce,0.005116,0.000145,1.02x,N/A,N/A,N/A
catalan,--lvn_--dce_--loops,0.005249,0.000132,1.00x,N/A,N/A,N/A
gpf,baseline,0.002402,0.000140,baseline,N/A,N/A,N/A
gpf,--lvn,0.002389,0.000128,1.01x,N/A,N/A,N/A
gpf,--dce,0.002414,0.000151,1.00x,N/A,N/A,N/A
gpf,--loops,0.002316,0.000138,1.04x,N/A,N/A,N/A
gpf,--lvn_--dce,0.002378,0.000128,1.01x,N/A,N/A,N/A
gpf,--lvn_--dce_--loops,0.002391,0.000129,1.00x,N/A,N/A,N/A
armstrong,baseline,0.002377,0.000151,baseline,N/A,N/A,N/A
armstrong,--lvn,0.002520,0.001046,0.94x,N/A,N/A,N/A
armstrong,--dce,0.002424,0.000154,0.98x,N/A,N/A,N/A
armstrong,--loops,0.002516,0.000228,0.94x,N/A,N/A,N/A
armstrong,--lvn_--dce,0.002495,0.000167,0.95x,N/A,N/A,N/A
armstrong,--lvn_--dce_--loops,0.002419,0.000164,0.98x,N/A,N/A,N/A
pascals-row,baseline,0.002429,0.000161,baseline,N/A,N/A,N/A
pascals-row,--lvn,0.002452,0.000166,0.99x,N/A,N/A,N/A
pascals-row,--dce,0.002451,0.000143,0.99x,N/A,N/A,N/A
pascals-row,--loops,0.002411,0.000147,1.01x,N/A,N/A,N/A
pascals-row,--lvn_--dce,0.002465,0.000163,0.99x,N/A,N/A,N/A
pascals-row,--lvn_--dce_--loops,0.002414,0.000178,1.01x,N/A,N/A,N/A
collatz,baseline,0.002411,0.000164,baseline,N/A,N/A,N/A
collatz,--lvn,0.002392,0.000182,1.01x,N/A,N/A,N/A
collatz,--dce,0.002390,0.000166,1.01x,N/A,N/A,N/A
collatz,--loops,0.002364,0.000151,1.02x,N/A,N/A,N/A
collatz,--lvn_--dce,0.002442,0.000181,0.99x,N/A,N/A,N/A
collatz,--lvn_--dce_--loops,0.002395,0.000160,1.01x,N/A,N/A,N/A
sum-bits,baseline,0.002393,0.000159,baseline,N/A,N/A,N/A
sum-bits,--lvn,0.002379,0.000151,1.01x,N/A,N/A,N/A
sum-bits,--dce,0.002376,0.000157,1.01x,N/A,N/A,N/A
sum-bits,--loops,0.002412,0.000163,0.99x,N/A,N/A,N/A
sum-bits,--lvn_--dce,0.002408,0.000159,0.99x,N/A,N/A,N/A
sum-bits,--lvn_--dce_--loops,0.002390,0.000156,1.00x,N/A,N/A,N/A
sqrt_bin_search,baseline,0.002502,0.001026,baseline,N/A,N/A,N/A
sqrt_bin_search,--lvn,0.002423,0.000135,1.03x,N/A,N/A,N/A
sqrt_bin_search,--dce,0.002427,0.000142,1.03x,N/A,N/A,N/A
sqrt_bin_search,--loops,0.002447,0.000151,1.02x,N/A,N/A,N/A
sqrt_bin_search,--lvn_--dce,0.002425,0.000135,1.03x,N/A,N/A,N/A
sqrt_bin_search,--lvn_--dce_--loops,0.002474,0.000134,1.01x,N/A,N/A,N/A
mountain,baseline,0.002426,0.000163,baseline,N/A,N/A,N/A
mountain,--lvn,0.002506,0.000152,0.97x,N/A,N/A,N/A
mountain,--dce,0.002450,0.000164,0.99x,N/A,N/A,N/A
mountain,--loops,0.002450,0.000155,0.99x,N/A,N/A,N/A
mountain,--lvn_--dce,0.002495,0.000145,0.97x,N/A,N/A,N/A
mountain,--lvn_--dce_--loops,0.002428,0.000160,1.00x,N/A,N/A,N/A
rectangles-area-difference,baseline,0.002406,0.000151,baseline,N/A,N/A,N/A
rectangles-area-difference,--lvn,0.002414,0.000155,1.00x,N/A,N/A,N/A
rectangles-area-difference,--dce,0.002392,0.000167,1.01x,N/A,N/A,N/A
rectangles-area-difference,--loops,0.002411,0.000149,1.00x,N/A,N/A,N/A
rectangles-area-difference,--lvn_--dce,0.002377,0.000152,1.01x,N/A,N/A,N/A
rectangles-area-difference,--lvn_--dce_--loops,0.002424,0.000237,0.99x,N/A,N/A,N/A
mod_inv,baseline,0.002350,0.001794,baseline,N/A,N/A,N/A
mod_inv,--lvn,0.002379,0.000191,0.99x,N/A,N/A,N/A
mod_inv,--dce,0.002249,0.000129,1.04x,N/A,N/A,N/A
mod_inv,--loops,0.002315,0.000141,1.02x,N/A,N/A,N/A
mod_inv,--lvn_--dce,0.002385,0.000153,0.99x,N/A,N/A,N/A
mod_inv,--lvn_--dce_--loops,0.002352,0.000190,1.00x,N/A,N/A,N/A
karatsuba,baseline,0.002437,0.000120,baseline,N/A,N/A,N/A
karatsuba,--lvn,0.002422,0.000119,1.01x,N/A,N/A,N/A
karatsuba,--dce,0.002318,0.000114,1.05x,N/A,N/A,N/A
karatsuba,--loops,0.002395,0.000131,1.02x,N/A,N/A,N/A
karatsuba,--lvn_--dce,0.002359,0.000136,1.03x,N/A,N/A,N/A
karatsuba,--lvn_--dce_--loops,0.002441,0.000127,1.00x,N/A,N/A,N/A
reverse,baseline,0.002305,0.000118,baseline,N/A,N/A,N/A
reverse,--lvn,0.002307,0.000132,1.00x,N/A,N/A,N/A
reverse,--dce,0.002387,0.000157,0.97x,N/A,N/A,N/A
reverse,--loops,0.002333,0.000136,0.99x,N/A,N/A,N/A
reverse,--lvn_--dce,0.002320,0.000126,0.99x,N/A,N/A,N/A
